"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"02-182","Aragó 455","JARD MANUEL DE PEDROLO","459-463","431469.909758495","4583587.577013283","41.400909052","2.180166302"
"02-183","Diagonal / Lepant costat muntanya","PL HISPANITAT","1","431367.170603301","4583719.507991359","41.402088549","2.178922385"
"02-184","","PG SANT JOAN","121","430451.417899229","4583550.144667127","41.400484457","2.167987486"
"02-186","Paris / Diagonal","C ENRIC GRANADOS","120","429256.100962331","4582880.552736304","41.394349408","2.153767578"
"02-188","València","C VALENCIA","374-372","430790.817488904","4583427.161910797","41.399406078","2.172061388"
"02-189","AV. Josep Tarradellas","C LONDRES","8-2","428389.494392507","4582192.078277745","41.388071883","2.143483808"
"02-190","Mallorca / Provença","PG SANT JOAN","103","430544.987324168","4583455.503815083","41.399640147","2.169117605"
"02-191","Pl Francesc Macià","C JOSEP TARRADELLAS","147","428412.856952808","4582524.328608249","41.391066415","2.143723946"
"02-194","Cartagena, Rosselló, Provença","JARD MONTSERRAT ROIG","496-484","431370.916226792","4584457.919082080","41.408739499","2.178883462"
"02-195","Roger de Llúria (entre Consell de Cent i Diputació)","JARD TORRE DE LES AIGÜES","352","430584.432271361","4582783.042494243","41.393586917","2.169666523"
"02-198","","AV MISTRAL","18","429593.746912271","4580962.987234946","41.377108180","2.158028891"
"02-199","","AV MISTRAL","34-28","429510.526538395","4580930.607817911","41.376809264","2.157037548"
"02-200","","AV MISTRAL","39-43","429459.826268291","4580905.308164502","41.376576955","2.156434246"
"02-201","","AV MISTRAL","48","429321.835687609","4580856.789139031","41.376127853","2.154789894"
"02-202","","AV MISTRAL","71","429240.085305198","4580822.989708588","41.375816248","2.153816323"
"02-203","","AV MISTRAL","66","429187.205089830","4580805.340083476","41.375652633","2.153186083"
"02-204","Marina","C MARINA","778","431555.388096932","4583351.746007715","41.398792277","2.181215451"
